
15:58:00:498 cBlockDiagram.Ws:  START
15:58:06:621   loading Curved Connector 48 in mElements                                                                :0.000041
15:58:06:626   Rectangle 49 0                                                                                          :0.000189
15:58:06:626   cBlockDiagramBlock.Rectangle:  START
15:58:06:626    ROP (re-order ppoint) n.applyLabel:  START
15:58:06:626     HashIt.BASE64SHA1:  START
15:58:06:626     HashIt.BASE64SHA1:  END                                                                               :0.000350
15:58:06:651     HashIt.BASE64SHA1:  START
15:58:06:651     HashIt.BASE64SHA1:  END                                                                               :0.000604
15:58:06:651    ROP (re-order ppoint) n.applyLabel:  END: XfdiDp74c5                                                   :0.027783
15:58:06:651   cBlockDiagramBlock.Rectangle:  END: ROP (re-order ppoint) n                                             :0.029184
15:58:06:656   ROP (re-order ppoint) n loaded in mElements                                                             :0.030357
15:58:06:656   Curved Connector 50 3                                                                                   :0.000065
15:58:06:656   loading Curved Connector 50 in mElements                                                                :0.000036
15:58:06:656   Rectangle 52 0                                                                                          :0.000190
15:58:06:656   cBlockDiagramBlock.Rectangle:  START
15:58:06:656    Budget COS.applyLabel:  START
15:58:06:656     HashIt.BASE64SHA1:  START
15:58:06:656     HashIt.BASE64SHA1:  END                                                                               :0.000357
15:58:06:681     HashIt.BASE64SHA1:  START
15:58:06:681     HashIt.BASE64SHA1:  END                                                                               :0.000551
15:58:06:681    Budget COS.applyLabel:  END: v1tbOjyZNZ                                                                :0.027203
15:58:06:681   cBlockDiagramBlock.Rectangle:  END: Budget COS                                                          :0.027934
15:58:06:681   Budget COS loaded in mElements                                                                          :0.028542
15:58:06:681   Rectangle 53 0                                                                                          :0.000062
15:58:06:681   cBlockDiagramBlock.Rectangle:  START
15:58:06:681    Opening stock.applyLabel:  START
15:58:06:686     HashIt.BASE64SHA1:  START
15:58:06:686     HashIt.BASE64SHA1:  END                                                                               :0.000307
15:58:06:711     HashIt.BASE64SHA1:  START
15:58:06:711     HashIt.BASE64SHA1:  END                                                                               :0.000555
15:58:06:711    Opening stock.applyLabel:  END: Label8                                                                 :0.028451
15:58:06:711   cBlockDiagramBlock.Rectangle:  END: Opening stock                                                       :0.029192
15:58:06:711   Opening stock loaded in mElements                                                                       :0.029826
15:58:06:711   Rectangle 55 0                                                                                          :0.000062
15:58:06:711   cBlockDiagramBlock.Rectangle:  START
15:58:06:711    Available cash.applyLabel:  START
15:58:06:716     HashIt.BASE64SHA1:  START
15:58:06:716     HashIt.BASE64SHA1:  END                                                                               :0.000332
15:58:06:741     HashIt.BASE64SHA1:  START
15:58:06:741     HashIt.BASE64SHA1:  END                                                                               :0.000516
15:58:06:741    Available cash.applyLabel:  END: Label9                                                                :0.027785
15:58:06:741   cBlockDiagramBlock.Rectangle:  END: Available cash                                                      :0.028531
15:58:06:741   Available cash loaded in mElements                                                                      :0.029171
15:58:06:741   Rectangle 56 0                                                                                          :0.000063
15:58:06:741   cBlockDiagramBlock.Rectangle:  START
15:58:06:741    Actual COS.applyLabel:  START
15:58:06:741     HashIt.BASE64SHA1:  START
15:58:06:741     HashIt.BASE64SHA1:  END                                                                               :0.000299
15:58:06:771     HashIt.BASE64SHA1:  START
15:58:06:771     HashIt.BASE64SHA1:  END                                                                               :0.000507
15:58:06:771    Actual COS.applyLabel:  END: c4fdVMDMYv                                                                :0.028706
15:58:06:771   cBlockDiagramBlock.Rectangle:  END: Actual COS                                                          :0.029458
15:58:06:771   Actual COS loaded in mElements                                                                          :0.030055
15:58:06:771   Rectangle 57 0                                                                                          :0.000066
15:58:06:771   cBlockDiagramBlock.Rectangle:  START
15:58:06:771    Actual Sales.applyLabel:  START
15:58:06:771     HashIt.BASE64SHA1:  START
15:58:06:771     HashIt.BASE64SHA1:  END                                                                               :0.000306
15:58:06:801     HashIt.BASE64SHA1:  START
15:58:06:801     HashIt.BASE64SHA1:  END                                                                               :0.000579
15:58:06:801    Actual Sales.applyLabel:  END: Label10                                                                 :0.028491
15:58:06:801   cBlockDiagramBlock.Rectangle:  END: Actual Sales                                                        :0.029231
15:58:06:801   Actual Sales loaded in mElements                                                                        :0.029865
15:58:06:801   Rectangle 58 0                                                                                          :0.000062
15:58:06:801   cBlockDiagramBlock.Rectangle:  START
15:58:06:801    Costs and provisions.applyLabel:  START
15:58:06:801     HashIt.BASE64SHA1:  START
15:58:06:801     HashIt.BASE64SHA1:  END                                                                               :0.000338
15:58:06:831     HashIt.BASE64SHA1:  START
15:58:06:831     HashIt.BASE64SHA1:  END                                                                               :0.000421
15:58:06:831    Costs and provisions.applyLabel:  END: xYiF0FSEtP                                                      :0.027710
15:58:06:831   cBlockDiagramBlock.Rectangle:  END: Costs and provisions                                                :0.028435
15:58:06:831   Costs and provisions loaded in mElements                                                                :0.029033
15:58:06:831   Rectangle 59 0                                                                                          :0.000063
15:58:06:831   cBlockDiagramBlock.Rectangle:  START
15:58:06:831    Reserves.applyLabel:  START
15:58:06:831     HashIt.BASE64SHA1:  START
15:58:06:831     HashIt.BASE64SHA1:  END                                                                               :0.000307
15:58:06:866     HashIt.BASE64SHA1:  START
15:58:06:866     HashIt.BASE64SHA1:  END                                                                               :0.000566
15:58:06:866    Reserves.applyLabel:  END: ah997OUgy7                                                                  :0.035629
15:58:06:866   cBlockDiagramBlock.Rectangle:  END: Reserves                                                            :0.036360
15:58:06:866   Reserves loaded in mElements                                                                            :0.036969
15:58:06:866   Rectangle 68 0                                                                                          :0.000062
15:58:06:866   cBlockDiagramBlock.Rectangle:  START
15:58:06:871    Budget COS n-1.applyLabel:  START
15:58:06:871     HashIt.BASE64SHA1:  START
15:58:06:871     HashIt.BASE64SHA1:  END                                                                               :0.000397
15:58:06:896     HashIt.BASE64SHA1:  START
15:58:06:896     HashIt.BASE64SHA1:  END                                                                               :0.000552
15:58:06:896    Budget COS n-1.applyLabel:  END: GyiYesjU0D                                                            :0.027495
15:58:06:896   cBlockDiagramBlock.Rectangle:  END: Budget COS n-1                                                      :0.028917
15:58:06:896   Budget COS n-1 loaded in mElements                                                                      :0.029942
15:58:06:896   Rectangle 79 0                                                                                          :0.000068
15:58:06:896   cBlockDiagramBlock.Rectangle:  START
15:58:06:901    Weeks stock on hand.applyLabel:  START
15:58:06:901     HashIt.BASE64SHA1:  START
15:58:06:901     HashIt.BASE64SHA1:  END                                                                               :0.000338
15:58:06:926     HashIt.BASE64SHA1:  START
15:58:06:926     HashIt.BASE64SHA1:  END                                                                               :0.000532
15:58:06:926    Weeks stock on hand.applyLabel:  END: Label11                                                          :0.027294
15:58:06:926   cBlockDiagramBlock.Rectangle:  END: Weeks stock on hand                                                 :0.028081
15:58:06:926   Weeks stock on hand loaded in mElements                                                                 :0.028647
15:58:06:926   Rectangle 83 0                                                                                          :0.000070
15:58:06:926   cBlockDiagramBlock.Rectangle:  START
15:58:06:926    Weeks stock on hand n.applyLabel:  START
15:58:06:931     HashIt.BASE64SHA1:  START
15:58:06:931     HashIt.BASE64SHA1:  END                                                                               :0.000352
15:58:06:956     HashIt.BASE64SHA1:  START
15:58:06:956     HashIt.BASE64SHA1:  END                                                                               :0.000563
15:58:06:956    Weeks stock on hand n.applyLabel:  END: vZEfzzfM4U                                                     :0.027677
15:58:06:956   cBlockDiagramBlock.Rectangle:  END: Weeks stock on hand n                                               :0.029083
15:58:06:956   Weeks stock on hand n loaded in mElements                                                               :0.030089
15:58:06:956   Rectangle 84 0                                                                                          :0.000068
15:58:06:956   cBlockDiagramBlock.Rectangle:  START
15:58:06:956    Opening stock n-2.applyLabel:  START
15:58:06:961     HashIt.BASE64SHA1:  START
15:58:06:961     HashIt.BASE64SHA1:  END                                                                               :0.000337
15:58:06:986     HashIt.BASE64SHA1:  START
15:58:06:986     HashIt.BASE64SHA1:  END                                                                               :0.000527
15:58:06:986    Opening stock n-2.applyLabel:  END: Label12                                                            :0.027341
15:58:06:986   cBlockDiagramBlock.Rectangle:  END: Opening stock n-2                                                   :0.028654
15:58:06:986   Opening stock n-2 loaded in mElements                                                                   :0.029709
15:58:06:986   Rectangle 90 0                                                                                          :0.000068
15:58:06:986   cBlockDiagramBlock.Rectangle:  START
15:58:06:986    Actual COS n-2.applyLabel:  START
15:58:06:986     HashIt.BASE64SHA1:  START
15:58:06:991     HashIt.BASE64SHA1:  END                                                                               :0.000391
15:58:07:016     HashIt.BASE64SHA1:  START
15:58:07:016     HashIt.BASE64SHA1:  END                                                                               :0.000421
15:58:07:016    Actual COS n-2.applyLabel:  END: Label13                                                               :0.027857
15:58:07:016   cBlockDiagramBlock.Rectangle:  END: Actual COS n-2                                                      :0.029142
15:58:07:016   Actual COS n-2 loaded in mElements                                                                      :0.030183
15:58:07:016   Rectangle 91 0                                                                                          :0.000067
15:58:07:016   cBlockDiagramBlock.Rectangle:  START
15:58:07:016    Actual COS n-3.applyLabel:  START
15:58:07:021     HashIt.BASE64SHA1:  START
15:58:07:021     HashIt.BASE64SHA1:  END                                                                               :0.000350
15:58:07:066     HashIt.BASE64SHA1:  START
15:58:07:066     HashIt.BASE64SHA1:  END                                                                               :0.000471
15:58:07:066    Actual COS n-3.applyLabel:  END: QoIiXrE8RD                                                            :0.049640
15:58:07:066   cBlockDiagramBlock.Rectangle:  END: Actual COS n-3                                                      :0.050865
15:58:07:071   Actual COS n-3 loaded in mElements                                                                      :0.051823
15:58:07:071   Rectangle 92 0                                                                                          :0.000068
15:58:07:071   cBlockDiagramBlock.Rectangle:  START
15:58:07:071    Opening stock n-1.applyLabel:  START
15:58:07:071     HashIt.BASE64SHA1:  START
15:58:07:071     HashIt.BASE64SHA1:  END                                                                               :0.000354
15:58:07:096     HashIt.BASE64SHA1:  START
15:58:07:096     HashIt.BASE64SHA1:  END                                                                               :0.000445
15:58:07:096    Opening stock n-1.applyLabel:  END: iODdI8qW8B                                                         :0.027735
15:58:07:101   cBlockDiagramBlock.Rectangle:  END: Opening stock n-1                                                   :0.029076
15:58:07:101   Opening stock n-1 loaded in mElements                                                                   :0.031258
15:58:07:101   Curved Connector 97 3                                                                                   :0.000063
15:58:07:101   loading Curved Connector 97 in mElements                                                                :0.000036
15:58:07:101   Curved Connector 100 3                                                                                  :0.000204
15:58:07:101   loading Curved Connector 100 in mElements                                                               :0.000039
15:58:07:101   Curved Connector 103 3                                                                                  :0.000163
15:58:07:101   loading Curved Connector 103 in mElements                                                               :0.000039
15:58:07:101   Curved Connector 106 3                                                                                  :0.000160
15:58:07:101   loading Curved Connector 106 in mElements                                                               :0.000038
15:58:07:101   Curved Connector 109 3                                                                                  :0.000156
15:58:07:101   loading Curved Connector 109 in mElements                                                               :0.000038
15:58:07:101   Curved Connector 113 3                                                                                  :0.000164
15:58:07:101   loading Curved Connector 113 in mElements                                                               :0.000036
15:58:07:101   Curved Connector 117 3                                                                                  :0.000154
15:58:07:101   loading Curved Connector 117 in mElements                                                               :0.000039
15:58:07:101   Curved Connector 121 3                                                                                  :0.000153
15:58:07:101   loading Curved Connector 121 in mElements                                                               :0.000038
15:58:07:101   Rectangle 156 0                                                                                         :0.000157
15:58:07:101   cBlockDiagramBlock.Rectangle:  START
15:58:07:101    Product Data.applyLabel:  START
15:58:07:101     HashIt.BASE64SHA1:  START
15:58:07:106     HashIt.BASE64SHA1:  END                                                                               :0.000369
15:58:07:131     HashIt.BASE64SHA1:  START
15:58:07:131     HashIt.BASE64SHA1:  END                                                                               :0.000542
15:58:07:131    Product Data.applyLabel:  END: Lo1SX2ARRJ                                                              :0.027029
15:58:07:131   cBlockDiagramBlock.Rectangle:  END: Product Data                                                        :0.027803
15:58:07:131   Product Data loaded in mElements                                                                        :0.028404
15:58:07:131   Rectangle 54 0                                                                                          :0.000062
15:58:07:131   cBlockDiagramBlock.Rectangle:  START
15:58:07:131    Stock Purchase.applyLabel:  START
15:58:07:131     HashIt.BASE64SHA1:  START
15:58:07:131     HashIt.BASE64SHA1:  END                                                                               :0.000306
15:58:07:156     HashIt.BASE64SHA1:  START
15:58:07:156     HashIt.BASE64SHA1:  END                                                                               :0.000497
15:58:07:156    Stock Purchase.applyLabel:  END: dmCCjzXXbf                                                            :0.026688
15:58:07:161   cBlockDiagramBlock.Rectangle:  END: Stock Purchase                                                      :0.027450
15:58:07:161   Stock Purchase loaded in mElements                                                                      :0.028093
15:58:07:161  cBlockDiagram.loadElements:  END                                                                         :1.362822
15:58:07:161  cBlockDiagram.linkElements:  START Elements :77
15:58:07:161   Stock Data.addChild:  START
15:58:07:161    Stock Data.addLink:  START
15:58:07:161     First Element: Stock Data Re-order Point                                                              :0.000032
15:58:07:161    Stock Data.addLink:  END: 1                                                                            :0.000096
15:58:07:161   Stock Data.addChild:  END                                                                               :0.000523
15:58:07:161   Stock Data.addChild:  START
15:58:07:161    Stock Data.addLink:  START
15:58:07:161    Stock Data.addLink:  END: 2                                                                            :0.000052
15:58:07:161   Stock Data.addChild:  END                                                                               :0.000477
15:58:07:166   Stock Data.addChild:  START
15:58:07:166    Stock Data.addLink:  START
15:58:07:166    Stock Data.addLink:  END: 3                                                                            :0.000054
15:58:07:166   Stock Data.addChild:  END                                                                               :0.000491
15:58:07:166   Stock Purchase.addChild:  START
15:58:07:166    Stock Purchase.addLink:  START
15:58:07:166     First Element: Stock Purchase n-1                                                                     :0.000031
15:58:07:166    Stock Purchase.addLink:  END: 1                                                                        :0.000093
15:58:07:166   Stock Purchase.addChild:  END                                                                           :0.000520
15:58:07:166   Stock Purchase.addChild:  START
15:58:07:166    Stock Purchase.addLink:  START
15:58:07:166    Stock Purchase.addLink:  END: 2                                                                        :0.000052
15:58:07:166   Stock Purchase.addChild:  END                                                                           :0.000477
15:58:07:171   Costs and provisions.addChild:  START
15:58:07:171    Costs and provisions.addLink:  START
15:58:07:171     First Element: Costs and provisions n                                                                 :0.000031
15:58:07:171    Costs and provisions.addLink:  END: 1                                                                  :0.000094
15:58:07:171   Costs and provisions.addChild:  END                                                                     :0.000521
15:58:07:171   Proposed COS.addChild:  START
15:58:07:171    Proposed COS.addLink:  START
15:58:07:171     First Element: Proposed COS n                                                                         :0.000031
15:58:07:171    Proposed COS.addLink:  END: 1                                                                          :0.000095
15:58:07:171   Proposed COS.addChild:  END                                                                             :0.000523
15:58:07:171   Proposed Stock Purchase.addChild:  START
15:58:07:171    Proposed Stock Purchase.addLink:  START
15:58:07:171     First Element: Proposed Stock Purchase n                                                              :0.000031
15:58:07:171    Proposed Stock Purchase.addLink:  END: 1                                                               :0.000093
15:58:07:171   Proposed Stock Purchase.addChild:  END                                                                  :0.000518
15:58:07:176   Proposed COS.addChild:  START
15:58:07:176    Proposed COS.addLink:  START
15:58:07:176    Proposed COS.addLink:  END: 2                                                                          :0.000054
15:58:07:176   Proposed COS.addChild:  END                                                                             :0.000480
15:58:07:176   Proposed COS n-1.addTail:  START
15:58:07:176    Proposed COS n-1.addLink:  START
15:58:07:176     First Element: Curved Connector 4                                                                     :0.000032
15:58:07:176    Proposed COS n-1.addLink:  END: 1                                                                      :0.000093
15:58:07:176   Proposed COS n-1.addTail:  END                                                                          :0.000890
15:58:07:176   Proposed Stock Purchase n.addTail:  START
15:58:07:176    Proposed Stock Purchase n.addLink:  START
15:58:07:176     First Element: Curved Connector 4                                                                     :0.000032
15:58:07:176    Proposed Stock Purchase n.addLink:  END: 1                                                             :0.000094
15:58:07:176   Proposed Stock Purchase n.addTail:  END                                                                 :0.000895
15:58:07:181   Opening stock.addChild:  START
15:58:07:181    Opening stock.addLink:  START
15:58:07:181     First Element: Opening stock n                                                                        :0.000032
15:58:07:181    Opening stock.addLink:  END: 1                                                                         :0.000094
15:58:07:181   Opening stock.addChild:  END                                                                            :0.000520
15:58:07:181   Opening stock.addChild:  START
15:58:07:181    Opening stock.addLink:  START
15:58:07:181    Opening stock.addLink:  END: 2                                                                         :0.000052
15:58:07:181   Opening stock.addChild:  END                                                                            :0.000477
15:58:07:181   Opening stock n.addTail:  START
15:58:07:181    Opening stock n.addLink:  START
15:58:07:181     First Element: Curved Connector 7                                                                     :0.000031
15:58:07:181    Opening stock n.addLink:  END: 1                                                                       :0.000093
15:58:07:181   Opening stock n.addTail:  END                                                                           :0.000894
15:58:07:186   Proposed Stock Purchase n.addTail:  START
15:58:07:186    Proposed Stock Purchase n.addLink:  START
15:58:07:186    Proposed Stock Purchase n.addLink:  END: 2                                                             :0.000053
15:58:07:186   Proposed Stock Purchase n.addTail:  END                                                                 :0.000854
15:58:07:186   Available cash.addChild:  START
15:58:07:186    Available cash.addLink:  START
15:58:07:186     First Element: Available cash n                                                                       :0.000032
15:58:07:186    Available cash.addLink:  END: 1                                                                        :0.000092
15:58:07:186   Available cash.addChild:  END                                                                           :0.000515
15:58:07:186   Stock Purchase n-1.addTail:  START
15:58:07:191    Stock Purchase n-1.addLink:  START
15:58:07:191     First Element: Curved Connector 11                                                                    :0.000032
15:58:07:191    Stock Purchase n-1.addLink:  END: 1                                                                    :0.000094
15:58:07:191   Stock Purchase n-1.addTail:  END                                                                        :0.000920
15:58:07:191   Opening stock n.addTail:  START
15:58:07:191    Opening stock n.addLink:  START
15:58:07:191     First Element: Curved Connector 11                                                                    :0.000032
15:58:07:191    Opening stock n.addLink:  END: 1                                                                       :0.000094
15:58:07:191   Opening stock n.addTail:  END                                                                           :0.000889
15:58:07:191   Proposed Stock Purchase n.addTail:  START
15:58:07:191    Proposed Stock Purchase n.addLink:  START
15:58:07:191     First Element: Curved Connector 12                                                                    :0.000031
15:58:07:191    Proposed Stock Purchase n.addLink:  END: 1                                                             :0.000093
15:58:07:191   Proposed Stock Purchase n.addTail:  END                                                                 :0.000893
15:58:07:196   Stock Purchase n.addTail:  START
15:58:07:196    Stock Purchase n.addLink:  START
15:58:07:196     First Element: Curved Connector 12                                                                    :0.000032
15:58:07:196    Stock Purchase n.addLink:  END: 1                                                                      :0.000096
15:58:07:196   Stock Purchase n.addTail:  END                                                                          :0.000901
15:58:07:196   Actual COS.addChild:  START
15:58:07:196    Actual COS.addLink:  START
15:58:07:196     First Element: Actual COS n                                                                           :0.000031
15:58:07:196    Actual COS.addLink:  END: 1                                                                            :0.000093
15:58:07:196   Actual COS.addChild:  END                                                                               :0.000517
15:58:07:196   Actual COS.addChild:  START
15:58:07:201    Actual COS.addLink:  START
15:58:07:201    Actual COS.addLink:  END: 2                                                                            :0.000062
15:58:07:201   Actual COS.addChild:  END                                                                               :0.000485
15:58:07:201   Opening stock n-1.addTail:  START
15:58:07:201    Opening stock n-1.addLink:  START
15:58:07:201     First Element: Curved Connector 15                                                                    :0.000032
15:58:07:201    Opening stock n-1.addLink:  END: 1                                                                     :0.000096
15:58:07:201   Opening stock n-1.addTail:  END                                                                         :0.000897
15:58:07:201   Opening stock n.addTail:  START
15:58:07:201    Opening stock n.addLink:  START
15:58:07:201    Opening stock n.addLink:  END: 2                                                                       :0.000052
15:58:07:201   Opening stock n.addTail:  END                                                                           :0.000850
15:58:07:206   Actual COS n-1.addTail:  START
15:58:07:206    Actual COS n-1.addLink:  START
15:58:07:206     First Element: Curved Connector 16                                                                    :0.000031
15:58:07:206    Actual COS n-1.addLink:  END: 1                                                                        :0.000094
15:58:07:206   Actual COS n-1.addTail:  END                                                                            :0.000892
15:58:07:206   Opening stock n.addTail:  START
15:58:07:206    Opening stock n.addLink:  START
15:58:07:206    Opening stock n.addLink:  END: 3                                                                       :0.000054
15:58:07:206   Opening stock n.addTail:  END                                                                           :0.000851
15:58:07:206   Opening stock n.addTail:  START
15:58:07:211    Opening stock n.addLink:  START
15:58:07:211    Opening stock n.addLink:  END: 2                                                                       :0.000053
15:58:07:211   Opening stock n.addTail:  END                                                                           :0.000866
15:58:07:211   Stock Purchase n.addTail:  START
15:58:07:211    Stock Purchase n.addLink:  START
15:58:07:211    Stock Purchase n.addLink:  END: 2                                                                      :0.000052
15:58:07:211   Stock Purchase n.addTail:  END                                                                          :0.000850
15:58:07:211   Proposed COS n.addTail:  START
15:58:07:211    Proposed COS n.addLink:  START
15:58:07:211     First Element: Curved Connector 18                                                                    :0.000031
15:58:07:211    Proposed COS n.addLink:  END: 1                                                                        :0.000093
15:58:07:211   Proposed COS n.addTail:  END                                                                            :0.000885
15:58:07:216   Actual COS n.addTail:  START
15:58:07:216    Actual COS n.addLink:  START
15:58:07:216     First Element: Curved Connector 18                                                                    :0.000032
15:58:07:216    Actual COS n.addLink:  END: 1                                                                          :0.000095
15:58:07:216   Actual COS n.addTail:  END                                                                              :0.000901
15:58:07:216   Opening stock n.addTail:  START
15:58:07:216    Opening stock n.addLink:  START
15:58:07:216    Opening stock n.addLink:  END: 3                                                                       :0.000053
15:58:07:216   Opening stock n.addTail:  END                                                                           :0.000855
15:58:07:216   Actual COS n.addTail:  START
15:58:07:221    Actual COS n.addLink:  START
15:58:07:221    Actual COS n.addLink:  END: 2                                                                          :0.000057
15:58:07:221   Actual COS n.addTail:  END                                                                              :0.000909
15:58:07:221   Actual Sales.addChild:  START
15:58:07:221    Actual Sales.addLink:  START
15:58:07:221     First Element: Actual Sales n                                                                         :0.000031
15:58:07:221    Actual Sales.addLink:  END: 1                                                                          :0.000095
15:58:07:221   Actual Sales.addChild:  END                                                                             :0.000522
15:58:07:221   Actual COS n.addTail:  START
15:58:07:221    Actual COS n.addLink:  START
15:58:07:221     First Element: Curved Connector 21                                                                    :0.000031
15:58:07:221    Actual COS n.addLink:  END: 1                                                                          :0.000094
15:58:07:221   Actual COS n.addTail:  END                                                                              :0.000896
15:58:07:226   Actual Sales n.addTail:  START
15:58:07:226    Actual Sales n.addLink:  START
15:58:07:226     First Element: Curved Connector 21                                                                    :0.000032
15:58:07:226    Actual Sales n.addLink:  END: 1                                                                        :0.000094
15:58:07:226   Actual Sales n.addTail:  END                                                                            :0.000895
15:58:07:226   Budget COS n-1.addTail:  START
15:58:07:226    Budget COS n-1.addLink:  START
15:58:07:226     First Element: Curved Connector 22                                                                    :0.000031
15:58:07:226    Budget COS n-1.addLink:  END: 1                                                                        :0.000094
15:58:07:226   Budget COS n-1.addTail:  END                                                                            :0.000887
15:58:07:226   Proposed Stock Purchase n.addTail:  START
15:58:07:231    Proposed Stock Purchase n.addLink:  START
15:58:07:231    Proposed Stock Purchase n.addLink:  END: 3                                                             :0.000056
15:58:07:231   Proposed Stock Purchase n.addTail:  END                                                                 :0.000908
15:58:07:231   Product Data.addChild:  START
15:58:07:231    Product Data.addLink:  START
15:58:07:231     First Element: Product Data final sales                                                               :0.000031
15:58:07:231    Product Data.addLink:  END: 1                                                                          :0.000094
15:58:07:231   Product Data.addChild:  END                                                                             :0.000518
15:58:07:231   Product Data.addChild:  START
15:58:07:231    Product Data.addLink:  START
15:58:07:231    Product Data.addLink:  END: 2                                                                          :0.000052
15:58:07:231   Product Data.addChild:  END                                                                             :0.000474
15:58:07:231   Product Data.addChild:  START
15:58:07:236    Product Data.addLink:  START
15:58:07:236    Product Data.addLink:  END: 3                                                                          :0.000053
15:58:07:236   Product Data.addChild:  END                                                                             :0.000489
15:58:07:236   Product Data time const.addTail:  START
15:58:07:236    Product Data time const.addLink:  START
15:58:07:236     First Element: Curved Connector 29                                                                    :0.000032
15:58:07:236    Product Data time const.addLink:  END: 1                                                               :0.000094
15:58:07:236   Product Data time const.addTail:  END                                                                   :0.000885
15:58:07:236   Budget COS n.addTail:  START
15:58:07:236    Budget COS n.addLink:  START
15:58:07:236     First Element: Curved Connector 29                                                                    :0.000031
15:58:07:236    Budget COS n.addLink:  END: 1                                                                          :0.000092
15:58:07:236   Budget COS n.addTail:  END                                                                              :0.000887
15:58:07:241   Product Data final sales.addTail:  START
15:58:07:241    Product Data final sales.addLink:  START
15:58:07:241     First Element: Curved Connector 30                                                                    :0.000031
15:58:07:241    Product Data final sales.addLink:  END: 1                                                              :0.000094
15:58:07:241   Product Data final sales.addTail:  END                                                                  :0.000891
15:58:07:241   Budget COS n.addTail:  START
15:58:07:241    Budget COS n.addLink:  START
15:58:07:241    Budget COS n.addLink:  END: 2                                                                          :0.000053
15:58:07:241   Budget COS n.addTail:  END                                                                              :0.000848
15:58:07:241   Product Data initial sales.addTail:  START
15:58:07:246    Product Data initial sales.addLink:  START
15:58:07:246     First Element: Curved Connector 31                                                                    :0.000034
15:58:07:246    Product Data initial sales.addLink:  END: 1                                                            :0.000099
15:58:07:246   Product Data initial sales.addTail:  END                                                                :0.000982
15:58:07:246   Budget COS n.addTail:  START
15:58:07:246    Budget COS n.addLink:  START
15:58:07:246    Budget COS n.addLink:  END: 3                                                                          :0.000054
15:58:07:246   Budget COS n.addTail:  END                                                                              :0.000853
15:58:07:246   Stock Data Target Stock.addTail:  START
15:58:07:246    Stock Data Target Stock.addLink:  START
15:58:07:246     First Element: Curved Connector 33                                                                    :0.000032
15:58:07:246    Stock Data Target Stock.addLink:  END: 1                                                               :0.000094
15:58:07:246   Stock Data Target Stock.addTail:  END                                                                   :0.000895
15:58:07:251   Proposed Stock Purchase n.addTail:  START
15:58:07:251    Proposed Stock Purchase n.addLink:  START
15:58:07:251    Proposed Stock Purchase n.addLink:  END: 4                                                             :0.000054
15:58:07:251   Proposed Stock Purchase n.addTail:  END                                                                 :0.000857
15:58:07:251   Stock Data MOQ.addTail:  START
15:58:07:251    Stock Data MOQ.addLink:  START
15:58:07:251     First Element: Curved Connector 34                                                                    :0.000031
15:58:07:251    Stock Data MOQ.addLink:  END: 1                                                                        :0.000093
15:58:07:251   Stock Data MOQ.addTail:  END                                                                            :0.000891
15:58:07:251   Proposed Stock Purchase n.addTail:  START
15:58:07:256    Proposed Stock Purchase n.addLink:  START
15:58:07:256    Proposed Stock Purchase n.addLink:  END: 5                                                             :0.000059
15:58:07:256   Proposed Stock Purchase n.addTail:  END                                                                 :0.000961
15:58:07:256   Stock Data Re-order Point.addTail:  START
15:58:07:256    Stock Data Re-order Point.addLink:  START
15:58:07:256     First Element: Curved Connector 35                                                                    :0.000031
15:58:07:256    Stock Data Re-order Point.addLink:  END: 1                                                             :0.000094
15:58:07:256   Stock Data Re-order Point.addTail:  END                                                                 :0.000889
15:58:07:256   ROP (re-order ppoint) n.addTail:  START
15:58:07:256    ROP (re-order ppoint) n.addLink:  START
15:58:07:256     First Element: Curved Connector 35                                                                    :0.000031
15:58:07:256    ROP (re-order ppoint) n.addLink:  END: 1                                                               :0.000094
15:58:07:256   ROP (re-order ppoint) n.addTail:  END                                                                   :0.000894
15:58:07:261   Reserves.addChild:  START
15:58:07:261    Reserves.addLink:  START
15:58:07:261     First Element: Reserves n                                                                             :0.000032
15:58:07:261    Reserves.addLink:  END: 1                                                                              :0.000098
15:58:07:261   Reserves.addChild:  END                                                                                 :0.000528
15:58:07:261   Budget COS n.addTail:  START
15:58:07:261    Budget COS n.addLink:  START
15:58:07:261     First Element: Curved Connector 37                                                                    :0.000031
15:58:07:261    Budget COS n.addLink:  END: 1                                                                          :0.000092
15:58:07:261   Budget COS n.addTail:  END                                                                              :0.000886
15:58:07:261   Proposed COS n.addTail:  START
15:58:07:266    Proposed COS n.addLink:  START
15:58:07:266     First Element: Curved Connector 37                                                                    :0.000032
15:58:07:266    Proposed COS n.addLink:  END: 1                                                                        :0.000092
15:58:07:266   Proposed COS n.addTail:  END                                                                            :0.000911
15:58:07:266   Budget COS.addChild:  START
15:58:07:266    Budget COS.addLink:  START
15:58:07:266     First Element: Budget COS n                                                                           :0.000030
15:58:07:266    Budget COS.addLink:  END: 1                                                                            :0.000092
15:58:07:266   Budget COS.addChild:  END                                                                               :0.000512
15:58:07:266   Actual COS n.addTail:  START
15:58:07:266    Actual COS n.addLink:  START
15:58:07:266    Actual COS n.addLink:  END: 2                                                                          :0.000052
15:58:07:266   Actual COS n.addTail:  END                                                                              :0.000848
15:58:07:271   Reserves n.addTail:  START
15:58:07:271    Reserves n.addLink:  START
15:58:07:271     First Element: Curved Connector 40                                                                    :0.000032
